FeelingName
Trygghet
Krav
Rettighet
Ansvarliggjøring
Svært viktig – også muntlig
Rettferdighet
Optimisme
Godta
Ufravikelig
Positiv
Visdom
Plikt
Noe vanskelig som kan føre til noe positivt.
Ordens-skaper
Alvorlig for både en selv og familien.
Punktlighet
Respekt
Viktighet
Et meget viktig  dokument
Flink
Lettere
Rik
Beskyttelse
Ivaretatt
Fare
Vennskapelig
Oppglød
Utvikling
Gave
Hjelp til bedring
Litt etter litt
Oppnåelse
Forbrytelse
Hjelp
Avslappet – etter å ha kjempet.
Å bli sett
Plikter
"Ingen over, ingen under – bare ved siden"
Ingen følelse av underlegenhet eller overlegenhet
"Ingen skam, men naturlig"
Tilfredshet for utført arbeid
Mestring
Vekst
Vanskelig å godta
"Hvile, hvor alle har det godt"
Noe naturlig og som er realsjonelt; kan bedres når omgivelsene forandres.
Absolutt nødvendighet
Hjelp midlertidig
Glede
Akseptere
Likverdig del av noe.
Oversikt
Gjøre noe for å oppnå noe annet
Ansvar for bolig
Umoden
Verdifullt
Aksept
Skam
Gevinst
Selvhjulpet
Kjekt
Nyttig
Foranderlig:  relasjonelt med omgivelsene
Læring
Autoritet
På vakt
Tap
Løsning
Håp
Vokse
Dårlig rennomè
Skadelig
Usikkerhet knyttet til noe skadelig som man ikke kan se
Nådeløs
Ingen nåde
Gi og få
Grusomhet
Lydighet
Trygg autoritet
Tilgjenglig
Noe som er lett å komme til
Tap ( for arbeidsgiver)
Avslappet
Ulovlig
Tvang
Arbeid som er av betydning for fellesskapet
Viktig
Strengt
Alvorlig
For meg og alle andre
Forutsigbarhet
Håpløshet
Frustrasjon
Apati
Fratatt noe
Nederlag
Lykkes
Frykt
Ondskap
Kravstor
Dumt
Mot
Fred
Erkjennelse
Negativitet
Ødeleggelse
Endelig
Avgjort
Ugjenkallelig
Myndig
Lettelse
Motivasjon
Underlegen
Nødvendighet
Balansert
Dumhet
Utrygghet
Nervøsitet
Økonomisk trygghet
Glemme
Smart
Årvåkenhet
Klok
Utfordringer
Kostbart
Lur
Irritasjon
Forvirring
Gjøre det rette
God selvfølelse
Tålmodighet
Alvor
Nøyaktig
Enklere
Mulighet
Effektivitet
Verdifull
Verd
Ukjent
Følelsen når ingen vet hvem du er.
Trygghet Økonomisk
Oppmerksomhet
Frarøvet
Ærbødighet
