TermName
Ansatt
Lovlig fravær
Konsekvenser
Oppfølging
Avtale
Demokrati
Helse
Identitet
Arbeids-evne
Lov
Utvikling
Evaluering
Lovverk
Prosedyre
Konflikter
Mekler
Kriminell
Skatteoppgjør
Arbeidstid i Norge
Høflighet
Attest
Pliktoppfyllende
Til rettelegging
Status
Åpen/ærlig
Barrierer
Uhell/ Ulykker
Regel
Råd og veiledning
Jobb-rullering
Hasardi's atferd
Sikkerhet               (i praksis)
Kurs (NAV)
Ledelse i Norge
Motivasjon
Praksis-plass
Opplæring
Fysioterapi
Tilvenning
Vilkår
Omsorgssvikt
Omsorgstiltak
Aksept
Individuell behandling
Kommune
Likestilling
Likeverd
Psykiske problemer
Vedtak
Mål / delmål
Nettverks-bygging
Selvutvikling
Autisme
Avlastning
Barn med nedsatt funksjons-evne
Barnehage
Behovs-prøving
Betalings-frist
Boevne
Bostøtte
Helbrede
Husordens regler
Inkludering
Integrering
Kartlegging
Toleranse
Kommunal bolig
Primærkontakt
Pubertet
Rekvisisjon
Tilstand
Trygderettigheter
Urettmessig sosialhjelp
Vedlikehold
Begrepsutvikling
Empowerment
Foreldresamarbeid
Funksjonshemming
Lek i Norge
Lovhjemmel
Observasjon
Sløsing
Sosialhjelp
Alternativ Kommunikasjon
Sosialisering
Sosialt nettverk
Misligholdelse
Muggsopp
Namsmann
Samarbeid
Vold
Bryte lovene i Norge
Nøytral/ upartisk
Skatt
Politi
Lavterskeltilbud
Fravær
Fritid
Følge regler
Pauser (urettmessig)
Møte til bestemt tid
Kildesortering
Tid i Norge
Lover i Norge
Samtykke
Offentlig
Vanligvis
Taushetsplikt
Leder
Avmakt
Avmakt - ikke få noe til på grunn av manglende ressurser.
Fiasko
Forsikring og forsikringsselskap i Norge
Framgang
Gjengjeldelse
Grådighet
Misforståelser
Naivitet
Ny start
Rettferdighet
Selvopptatt
Undertrykt
Uvennskap
Instruks
Omdømme
Angre
Ansatt i Norge
Ansvar
Ansvarsfraskrivelse
Arbeidsgiver i Norge
Arbeidsmiljø
Arbeidsmiljøloven i Norge
Arbeidsreglement
Arbeidstilsynet i Norge
Arrogant
Avvik
Balanse
Dumhet
Fagforening i Norge
Fare, (skjult)
Feriepengegrunnlag
Forebygge
Fortrenge
HMS
Instrukser
Kommunikasjon
Kommunikasjonsproblemer
Kontroll
Krangel
Kroppsspråk
Latskap
Likhet
Normer
Nybegynner/ opplæring
Oppmuntring
Personalhåndbok
Plan
Plikter og rettigheter
Regler
Sikkerhet
Suksess
Tid
Tid i industrialiserte land
Ulykke
Varsling
Verneombud
Ærlig og åpen
Lagerarbeid i Norge
Minoritet i arbeids-livet
Feriepengegrunnlag
Alternativ kommunikasjon
Ernæring
Klagefrist
Oppsigelser
Respekt
Rettigheter og plikter
